chunk_id,strategy,text,length,start_index,end_index
0,sentence,"Product: Intel Core i3-12100 12th Gen Budget Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 28,300৳30,120৳.

Product: Intel 10th Gen Core i5-10400 Desktop PC. Category: Intel PC. ",193,0,193
1,sentence,"Category: Intel PC. Subcategory: Star PC. Price: 32,150৳.

Product: Intel 12th Gen Core i5-12400 Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 33,248৳35,750৳.
",174,173,347
2,sentence,"Subcategory: Star PC. Price: 33,248৳35,750৳.

Product: Intel Core i5 14500 14th Gen Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 48,500৳51,800৳.
",161,302,463
3,sentence,"Subcategory: Star PC. Price: 48,500৳51,800৳.

Product: Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor. Category: Intel PC. Subcategory: Star PC. Price: 58,999৳60,600৳.
",181,418,599
4,sentence,"Subcategory: Star PC. Price: 58,999৳60,600৳.

Product: Acer Veriton S2690G Core i5 12th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 56,500৳.
",163,554,717
5,sentence,"Subcategory: Brand PC. Price: 56,500৳.

Product: Acer Veriton MT M4690G Core i3 14th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 51,500৳.
",160,678,838
6,sentence,"Subcategory: Brand PC. Price: 51,500৳.

Product: Acer Veriton MT M4690G Core i5 14th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 61,000৳.
",160,799,959
7,sentence,"Subcategory: Brand PC. Price: 61,000৳.

Product: ASUS ExpertCenter D5 D500ME Core i3 13th Gen Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 63,000৳.
",159,920,1079
8,sentence,"Subcategory: Brand PC. Price: 63,000৳.

Product: ASUS ExpertCenter D5 D500ME Core i5 13th Gen Mini Tower Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 67,000৳.
",170,1040,1210
9,sentence,"Subcategory: Brand PC. Price: 67,000৳.

Product: ASUS ExpertCenter D5 D500ME Core i7 13th Gen Mini Tower Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 101,850৳.
",171,1171,1342
10,sentence,"Subcategory: Brand PC. Price: 101,850৳.

Product: MSI PRO DP180 13th Gen Core i5 512GB SSD Desktop PC With Monitor. Category: MSI. Subcategory: Brand PC. Price: 67,500৳76,500৳.
",177,1302,1479
11,sentence,"Subcategory: Brand PC. Price: 67,500৳76,500৳.

Product: Intel 13th Gen Core i5 13400F Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 79,999৳84,500৳.
",172,1433,1605
12,sentence,"Subcategory: Gaming PC. Price: 79,999৳84,500৳.

Product: Intel Core Ultra 5 245K Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 94,499৳99,850৳.
",160,1558,1718
13,sentence,"Subcategory: Gaming PC. Price: 94,499৳99,850৳.

Product: Intel Core Ultra 5 245K Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 109,999৳117,599৳.
",169,1671,1840
14,sentence,"Price: 109,999৳117,599৳.

Product: Intel Core i5 14400 14th Gen Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 131,999৳135,950৳.
",152,1815,1967
15,sentence,"Price: 131,999৳135,950৳.

Product: Intel Core i7 14700K 14th Gen Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 145,999৳153,100৳.
",153,1942,2095
16,sentence,"Price: 145,999৳153,100৳.

Product: Intel Core Ultra 7 265K Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 167,999৳172,300৳.
",147,2070,2217
