chunk_id,strategy,text,length,start_index,end_index
0,token,Product: Intel Core i3-12100 12th Gen Budget Deskt,50,0,50
1,token,dget Desktop PC. Category: Intel PC. Subcategory: ,50,40,90
2,token,"category: Star PC. Price: 28,300৳30,120৳.

Product",50,80,130
3,token,".

Product: Intel 10th Gen Core i5-10400 Desktop P",50,120,170
4,token, Desktop PC. Category: Intel PC. Subcategory: Star,50,160,210
5,token,"gory: Star PC. Price: 32,150৳.

Product: Intel 12t",50,200,250
6,token, Intel 12th Gen Core i5-12400 Desktop PC. Category,50,240,290
7,token,. Category: Intel PC. Subcategory: Star PC. Price:,50,280,330
8,token,"PC. Price: 33,248৳35,750৳.

Product: Intel Core i5",50,320,370
9,token,el Core i5 14500 14th Gen Desktop PC. Category: In,50,360,410
10,token,"tegory: Intel PC. Subcategory: Star PC. Price: 48,",50,400,450
11,token,"Price: 48,500৳51,800৳.

Product: Intel 13th Gen Co",50,440,490
12,token,3th Gen Core i5 13400 Budget Desktop PC with Monit,50,480,530
13,token,with Monitor. Category: Intel PC. Subcategory: Sta,50,520,570
14,token,"egory: Star PC. Price: 58,999৳60,600৳.

Product: A",50,560,610
15,token,Product: Acer Veriton S2690G Core i5 12th Gen Towe,50,600,650
16,token,h Gen Tower Brand PC. Category: Acer. Subcategory:,50,640,690
17,token,"bcategory: Brand PC. Price: 56,500৳.

Product: Ace",50,680,730
18,token,oduct: Acer Veriton MT M4690G Core i3 14th Gen Tow,50,720,770
19,token,th Gen Tower Brand PC. Category: Acer. Subcategory,50,760,810
20,token,"ubcategory: Brand PC. Price: 51,500৳.

Product: Ac",50,800,850
21,token,roduct: Acer Veriton MT M4690G Core i5 14th Gen To,50,840,890
22,token,4th Gen Tower Brand PC. Category: Acer. Subcategor,50,880,930
23,token,"Subcategory: Brand PC. Price: 61,000৳.

Product: A",50,920,970
24,token,Product: ASUS ExpertCenter D5 D500ME Core i3 13th ,50,960,1010
25,token,e i3 13th Gen Brand PC. Category: ASUS. Subcategor,50,1000,1050
26,token,"Subcategory: Brand PC. Price: 63,000৳.

Product: A",50,1040,1090
27,token,Product: ASUS ExpertCenter D5 D500ME Core i5 13th ,50,1080,1130
28,token,e i5 13th Gen Mini Tower Brand PC. Category: ASUS.,50,1120,1170
29,token,"ory: ASUS. Subcategory: Brand PC. Price: 67,000৳.
",50,1160,1210
30,token," 67,000৳.

Product: ASUS ExpertCenter D5 D500ME Co",50,1200,1250
31,token, D500ME Core i7 13th Gen Mini Tower Brand PC. Cate,50,1240,1290
32,token,d PC. Category: ASUS. Subcategory: Brand PC. Price,50,1280,1330
33,token," PC. Price: 101,850৳.

Product: MSI PRO DP180 13th",50,1320,1370
34,token,DP180 13th Gen Core i5 512GB SSD Desktop PC With M,50,1360,1410
35,token, PC With Monitor. Category: MSI. Subcategory: Bran,50,1400,1450
36,token,"gory: Brand PC. Price: 67,500৳76,500৳.

Product: I",50,1440,1490
37,token,Product: Intel 13th Gen Core i5 13400F Gaming Desk,50,1480,1530
38,token,aming Desktop PC. Category: Intel PC. Subcategory:,50,1520,1570
39,token,"bcategory: Gaming PC. Price: 79,999৳84,500৳.

Prod",50,1560,1610
40,token,"00৳.

Product: Intel Core Ultra 5 245K Desktop PC.",50,1600,1650
41,token,esktop PC. Category: Intel PC. Subcategory: Gaming,50,1640,1690
42,token,"ry: Gaming PC. Price: 94,499৳99,850৳.

Product: In",50,1680,1730
43,token,roduct: Intel Core Ultra 5 245K Gaming Desktop PC.,50,1720,1770
44,token,esktop PC. Category: Intel PC. Subcategory: Gaming,50,1760,1810
45,token,"ry: Gaming PC. Price: 109,999৳117,599৳.

Product: ",50,1800,1850
46,token,"
Product: Intel Core i5 14400 14th Gen Gaming Desk",50,1840,1890
47,token,aming Desktop PC. Category: Intel PC. Subcategory:,50,1880,1930
48,token,"bcategory: Gaming PC. Price: 131,999৳135,950৳.

Pr",50,1920,1970
49,token,",950৳.

Product: Intel Core i7 14700K 14th Gen Gam",50,1960,2010
50,token,th Gen Gaming Desktop PC. Category: Intel PC. Subc,50,2000,2050
51,token,"l PC. Subcategory: Gaming PC. Price: 145,999৳153,1",50,2040,2090
52,token,",999৳153,100৳.

Product: Intel Core Ultra 7 265K G",50,2080,2130
53,token,a 7 265K Gaming Desktop PC. Category: Intel PC. Su,50,2120,2170
54,token,"tel PC. Subcategory: Gaming PC. Price: 167,999৳172",50,2160,2210
55,token,"67,999৳172,300৳.

Product: Intel Core i7 14700KF 1",50,2200,2250
56,token, 14700KF 14th Gen Gaming Desktop PC. Category: Int,50,2240,2290
57,token,egory: Intel PC. Subcategory: Gaming PC. Price: 23,50,2280,2330
58,token," Price: 235,999৳245,850৳.

Product: Intel Core Ult",50,2320,2370
59,token,l Core Ultra 9 285K Gaming Desktop PC. Category: I,50,2360,2410
60,token,ategory: Intel PC. Subcategory: Gaming PC. Price: ,50,2400,2450
61,token,"C. Price: 415,000৳425,955৳.

Product: AMD Ryzen 5 ",50,2440,2490
