name,price,original_price,discount,model,brand,availability,rating,review_count,image_url,product_url,specifications,category,subcategory,description
AMD Ryzen 5 3400G Processor Desktop PC,"21,999৳23,950৳","23,950৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38903-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-3400g-processor-desktop-pc,{},Desktop,,
Asus NUC 13 Pro Core i3 13th Gen Portable Mini Pc,"46,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/nuc-13-pro/asus-nuc-13-pro-1-228x228.webp,https://www.startech.com.bd/asus-nuc-13-pro-core-i3-13th-gen-mini-pc,{},Desktop,,
Asus NUC 13 Pro Core i5 13th Gen Portable Mini Pc,"60,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/nuc-13-pro/asus-nuc-13-pro-1-228x228.webp,https://www.startech.com.bd/asus-nuc-13-pro-core-i5-13th-gen-mini-pc,{},Desktop,,
Asus PN41 Celeron N5100 Mini PC,"26,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/asus/pn41/pn41-01-228x228.webp,https://www.startech.com.bd/asus-pn41-celeron-n5100-mini-pc,{},Desktop,,
AMD Ryzen 5 5600G Custom Desktop PC,"29,500৳31,700৳","31,700৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/43762-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-custom-desktop-pc,{},Desktop,,
Intel Core i3-12100 12th Gen Budget Desktop PC,"28,300৳30,120৳","30,120৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i3-12100-12th-gen-budget-desktop-pc-03-228x228.webp,https://www.startech.com.bd/intel-core-i3-12100-12th-gen-budget-desktop-pc,{},Desktop,,
AMD Ryzen 5 5600G Desktop PC,"30,750৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38904-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-desktop-pc,{},Desktop,,
AMD Ryzen 5 5600GT Budget Desktop PC,"28,704৳31,200৳","31,200৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38204-002-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600gt-desktop-pc,{},Desktop,,
AMD Ryzen 5 5600G Budget Desktop PC,"28,999৳31,350৳","31,350৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-budget-desktop-pc,{},Desktop,,
Intel 10th Gen Core i5-10400 Desktop PC,"32,150৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-10th-gen-core-i5-10400-desktop-pc-003-228x228.webp,https://www.startech.com.bd/intel-10th-gen-core-i5-10400-desktop-pc,{},Desktop,,
AMD Ryzen 7 5700G Custom Desktop PC,"30,622৳33,650৳","33,650৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/31452-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-5700g-custom-desktop-pc,{},Desktop,,
Intel 12th Gen Core i5-12400 Desktop PC,"33,248৳35,750৳","35,750৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38909-228x228.webp,https://www.startech.com.bd/intel-12th-gen-core-i5-12400-desktop-pc,{},Desktop,,
Asus Nuc 14 Essential Core 3 N355 Portable Mini Pc,"36,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/asus-nuc-14-essential/asus-nuc-14-essential-1-228x228.webp,https://www.startech.com.bd/asus-nuc-14-essential-core-3-n355-mini-pc,{},Desktop,,
AMD Ryzen 5 5600G Budget Desktop PC,"39,700৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-budget-desktop-pc,{},Desktop,,
Asus ExpertCenter PN64 Core i3 12th Gen Portable Mini PC,"41,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/mini-pc/asus/expertcenter-pn64-mini-pc/expertcenter-pn64-mini-pc-01-228x228.webp,https://www.startech.com.bd/asus-expertcenter-pn64-core-i3-12th-gen-mini-pc,{},Desktop,,
"TECLAST K24 Air Intel Celeron N5095 24"" FHD All-in-One PC","42,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/all-in-one-pc/teclast/k24-air/k24-air-01-228x228.webp,https://www.startech.com.bd/teclast-k24-air-celeron-n5095-all-in-one-pc,{},Desktop,,
Intel Core i5 14500 14th Gen Desktop PC,"48,500৳51,800৳","51,800৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i5-14500-desktop-pc-228x228.webp,https://www.startech.com.bd/intel-core-i5-14500-desktop-pc,{},Desktop,,
AMD Ryzen 5 8500G Desktop PC,"44,500৳46,000৳","46,000৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-8500g-desktop-pc,{},Desktop,,
"AOC A33 Intel Celeron N5095 23.8"" FHD All in One PC","46,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/all-in-one-pc/aoc/e33/e33-01-228x228.webp,https://www.startech.com.bd/aoc-a33-celeron-n5095-all-in-one-pc,{},Desktop,,
AMD Ryzen 5 5500 Gaming PC,"44,252৳48,100৳","48,100৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/40261-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5500-gaming-pc,{},Desktop,,
AMD Ryzen 5 3400G Processor Desktop PC,"21,999৳23,950৳","23,950৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38903-02-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-3400g-processor-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5600G Custom Desktop PC,"29,500৳31,700৳","31,700৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/43762-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-custom-desktop-pc,{},Desktop,Desktop Offer,
Intel Core i3-12100 12th Gen Budget Desktop PC,"28,300৳30,120৳","30,120৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i3-12100-12th-gen-budget-desktop-pc-03-228x228.webp,https://www.startech.com.bd/intel-core-i3-12100-12th-gen-budget-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5600G Desktop PC,"30,750৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38904-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5600GT Budget Desktop PC,"28,704৳31,200৳","31,200৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38204-002-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600gt-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5600G Budget Desktop PC,"28,999৳31,350৳","31,350৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-5600g-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-5600g-budget-desktop-pc,{},Desktop,Desktop Offer,
Intel 10th Gen Core i5-10400 Desktop PC,"32,150৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-10th-gen-core-i5-10400-desktop-pc-003-228x228.webp,https://www.startech.com.bd/intel-10th-gen-core-i5-10400-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 7 5700G Custom Desktop PC,"30,622৳33,650৳","33,650৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/31452-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-5700g-custom-desktop-pc,{},Desktop,Desktop Offer,
Intel 12th Gen Core i5-12400 Desktop PC,"33,248৳35,750৳","35,750৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/38909-228x228.webp,https://www.startech.com.bd/intel-12th-gen-core-i5-12400-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 5600G Budget Desktop PC,"39,700৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-budget-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-budget-desktop-pc,{},Desktop,Desktop Offer,
Intel Core i5 14500 14th Gen Desktop PC,"48,500৳51,800৳","51,800৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/intel-core-i5-14500-desktop-pc-228x228.webp,https://www.startech.com.bd/intel-core-i5-14500-desktop-pc,{},Desktop,Desktop Offer,
AMD Ryzen 5 8500G Desktop PC,"44,500৳46,000৳","46,000৳",,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-5-8500g-desktop-pc-001-228x228.webp,https://www.startech.com.bd/amd-ryzen-5-8500g-desktop-pc,{},Desktop,Desktop Offer,
